"","time","number","diam","LDSA","surface","mass","A1","A2","idiff","HV","EM1","EM2","DV","T","RH","P","flow","bat","Ipump","error","PWMpump","Part_time"
"1",1,4537,36,8.85,41.91,0.84,1.428,0.543,0,281,-1.12,0.12,360,20.2,0,1032.3,0.5,4.15,15.84,0,53,2023-10-05 06:54:05
"2",2,5754,31,9.62,39.84,0.69,1.552,0.5,2,3591,3.36,1.93,360,20.2,61,1032.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:06
"3",3,6364,28,9.66,36.8,0.59,1.559,0.448,0,283,-1.8,-0.19,364,20.2,61,1023,0.5,4.15,15.08,0,53,2023-10-05 06:54:07
"4",4,4851,37,9.63,46.3,0.95,1.553,0.601,2,3594,3.6,1.43,360,20.2,61,1023,0.5,4.14,15.28,0,53,2023-10-05 06:54:08
"5",5,6147,33,10.86,47.15,0.86,1.751,0.6,0,287,-1.8,-0.5,359,20.4,58,1023,0.5,4.15,15.24,0,53,2023-10-05 06:54:09
"6",6,6055,33,10.96,48.64,0.91,1.768,0.622,2.01,3592,3.6,1.62,359,20.4,58,1023.5,0.5,4.14,15.52,0,53,2023-10-05 06:54:10
"7",7,5456,36,10.62,50.2,1.01,1.713,0.65,0,283,-1.86,-0.5,359,20.4,58,1023.5,0.5,4.14,15.6,0,53,2023-10-05 06:54:11
"8",8,5355,37,10.75,52.14,1.08,1.733,0.678,2.01,3591,2.92,1.86,359,20.4,58,1023.5,0.5,4.14,15.6,0,53,2023-10-05 06:54:12
"9",9,4874,36,9.61,45.96,0.93,1.551,0.596,0,283,-1.37,-0.62,359,20.4,58,1023.3,0.5,4.15,15.6,0,53,2023-10-05 06:54:13
"10",10,4483,36,8.67,40.75,0.81,1.399,0.527,1.97,3588,3.11,1.37,360,20.4,58,1023.3,0.5,4.14,15.16,0,53,2023-10-05 06:54:14
"11",11,4002,42,9.12,49.37,1.15,1.47,0.648,0,281,-1.86,-0.5,359,20.4,57,1023.3,0.5,4.15,15.2,0,53,2023-10-05 06:54:15
"12",12,3884,44,9.34,53.06,1.3,1.507,0.696,1.99,3591,3.6,1.68,359,20.4,57,1023.3,0.499,4.14,15.32,0,53,2023-10-05 06:54:16
"13",13,5032,37,10.18,49.76,1.03,1.642,0.648,0,284,-2.8,-0.56,359,20.4,57,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:54:17
"14",14,5867,37,11.97,58.96,1.24,1.931,0.768,2.02,3590,3.6,1.74,360,20.4,56,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:54:18
"15",15,6466,35,12.23,56.32,1.1,1.972,0.726,0,280,-1.93,-1.18,361,20.4,56,1023.3,0.5,4.14,15.52,0,53,2023-10-05 06:54:19
"16",16,6215,33,10.95,47.41,0.87,1.765,0.603,2,3591,3.05,1.62,359,20.4,56,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:54:20
"17",17,5201,35,9.98,46.6,0.92,1.61,0.602,0,284,-1.37,-0.5,360,20.5,56,1023.3,0.501,4.14,15.36,0,52,2023-10-05 06:54:21
"18",18,4966,35,9.3,42.51,0.82,1.5,0.547,2,3587,2.98,1.55,360,20.5,56,1023.4,0.5,4.14,15.36,0,52,2023-10-05 06:54:22
"19",19,5431,31,9.05,37.39,0.65,1.46,0.469,0,280,-1.31,-0.44,358,20.5,56,1023.4,0.5,4.15,14.88,0,52,2023-10-05 06:54:23
"20",20,5186,32,8.96,38.2,0.69,1.446,0.483,1.99,3588,3.29,1.43,359,20.4,56,1023.4,0.5,4.14,15.16,0,52,2023-10-05 06:54:24
"21",21,5181,33,9.33,41.17,0.77,1.504,0.526,0,277,-1.74,-0.31,359,20.4,56,1023.4,0.501,4.14,15.08,0,52,2023-10-05 06:54:25
"22",22,5165,34,9.42,42.05,0.79,1.519,0.538,1.99,3591,3.42,1.49,358,20.4,56,1023.4,0.5,4.14,15.2,0,53,2023-10-05 06:54:26
"23",23,5667,33,10.21,45.14,0.84,1.648,0.577,0,281,-1.86,-0.62,359,20.4,55,1023.4,0.5,4.15,15.36,0,52,2023-10-05 06:54:27
"24",24,5482,35,10.3,47.2,0.92,1.661,0.608,1.99,3588,3.23,1.74,358,20.4,55,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:54:28
"25",25,4980,35,9.48,43.92,0.86,1.529,0.567,0,283,-2.11,-0.62,359,20.4,55,1023.3,0.5,4.15,15.6,0,53,2023-10-05 06:54:29
"26",26,4220,41,9.51,51.02,1.17,1.534,0.669,1.98,3590,3.17,1.55,360,20.4,55,1023.3,0.5,4.14,15.48,0,53,2023-10-05 06:54:30
"27",27,4146,42,9.68,53.53,1.27,1.561,0.702,0,283,-2.18,-0.68,360,20.4,55,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:31
"28",28,4816,38,9.96,49.58,1.05,1.606,0.647,2.01,3588,3.05,1.55,359,20.4,55,1023.3,0.5,4.14,15.28,0,53,2023-10-05 06:54:32
"29",29,4803,36,9.44,45.02,0.91,1.523,0.584,0,281,-1.74,-0.75,358,20.4,55,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:54:33
"30",30,4982,33,8.74,37.75,0.69,1.41,0.479,2,3583,3.48,1.37,360,20.4,55,1023.2,0.5,4.14,15.12,0,53,2023-10-05 06:54:34
"31",31,4316,37,8.67,42.08,0.87,1.398,0.547,0,280,-1.8,-0.5,359,20.4,55,1023.2,0.5,4.15,15.08,0,53,2023-10-05 06:54:35
"32",32,4359,39,9.33,47.89,1.05,1.505,0.626,2.02,3587,3.73,1.49,359,20.4,55,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:54:36
"33",33,5192,38,10.68,52.97,1.12,1.723,0.691,0,281,-2.3,-0.68,360,20.4,55,1023.3,0.5,4.15,15.04,0,53,2023-10-05 06:54:37
"34",34,5622,38,11.64,57.99,1.23,1.877,0.756,2,3588,3.48,1.62,358,20.4,55,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:54:38
"35",35,5750,34,10.62,47.96,0.92,1.713,0.616,0,280,-2.24,-0.81,360,20.4,55,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:54:39
"36",36,4868,37,9.87,48.36,1.01,1.593,0.629,2.01,3588,2.73,1.55,359,20.4,55,1023.2,0.5,4.14,15.48,0,53,2023-10-05 06:54:40
"37",37,4744,38,9.81,48.88,1.04,1.583,0.638,0,284,-1.86,-0.93,360,20.4,55,1023.2,0.499,4.14,15.52,0,53,2023-10-05 06:54:41
"38",38,5242,34,9.61,43.1,0.82,1.55,0.552,2,3582,2.92,1.49,360,20.5,55,1023.2,0.5,4.14,15.84,0,53,2023-10-05 06:54:42
"39",39,5213,33,9.37,41.27,0.77,1.511,0.527,0,283,-1.37,-0.93,358,20.5,55,1023.4,0.5,4.14,15.4,0,53,2023-10-05 06:54:43
"40",40,5302,30,8.4,33.19,0.55,1.355,0.41,1.98,3587,3.48,1.18,358,20.5,55,1023.4,0.5,4.14,15.36,0,53,2023-10-05 06:54:44
"41",41,5703,30,9.27,37.45,0.63,1.495,0.466,0,281,-1.86,-0.37,359,20.4,55,1023.4,0.5,4.14,15.44,0,53,2023-10-05 06:54:45
"42",42,6365,33,11.21,48.51,0.89,1.807,0.617,1.99,3586,3.23,1.49,359,20.4,55,1023.3,0.499,4.14,15.72,0,53,2023-10-05 06:54:46
"43",43,6257,33,11.32,50.15,0.94,1.825,0.641,0,281,-1.62,-0.62,358,20.4,55,1023.3,0.5,4.14,15.48,0,53,2023-10-05 06:54:47
"44",44,5020,37,10.16,49.7,1.03,1.639,0.647,2,3586,2.98,1.62,359,20.5,55,1023.3,0.5,4.14,15.72,0,53,2023-10-05 06:54:48
"45",45,4813,37,9.65,46.81,0.97,1.557,0.608,0,284,-2.36,-0.68,359,20.5,55,1023.5,0.5,4.14,15.52,0,53,2023-10-05 06:54:49
"46",46,5962,33,10.7,47.07,0.87,1.725,0.601,2.02,3587,4.16,1.24,358,20.5,55,1023.5,0.499,4.14,15.72,0,53,2023-10-05 06:54:50
"47",47,5560,34,10.13,45.18,0.85,1.634,0.578,0,281,-2.3,-0.56,358,20.5,55,1023.5,0.5,4.14,15.4,0,53,2023-10-05 06:54:51
"48",48,6788,32,11.65,49.34,0.88,1.879,0.623,2,3586,3.11,1.49,359,20.5,55,1023.5,0.5,4.14,15.48,0,53,2023-10-05 06:54:52
"49",49,6510,33,11.76,52.05,0.97,1.896,0.665,0,283,-2.3,-0.75,358,20.5,55,1023.5,0.5,4.14,15.44,0,53,2023-10-05 06:54:53
"50",50,5123,37,10.24,49.51,1.02,1.652,0.643,1.98,3586,3.11,1.24,358,20.4,55,1023.5,0.5,4.14,15.64,0,53,2023-10-05 06:54:54
"51",51,5846,34,10.85,49.21,0.94,1.75,0.632,0,277,-1.74,-0.68,359,20.4,55,1023,0.5,4.14,15.48,0,53,2023-10-05 06:54:55
"52",52,5689,33,10.26,45.34,0.85,1.654,0.579,2.01,3584,3.48,1.31,359,20.4,55,1023,0.5,4.14,15.6,0,53,2023-10-05 06:54:56
"53",53,5712,33,10.18,44.51,0.82,1.641,0.567,0,280,-2.36,-0.75,359,20.5,54,1023,0.5,4.14,15.52,0,53,2023-10-05 06:54:57
"54",54,6210,33,11.23,49.78,0.93,1.811,0.636,2,3583,2.8,2.3,359,20.5,54,1023.3,0.5,4.14,15.52,0,53,2023-10-05 06:54:58
"55",55,5400,36,10.62,50.62,1.02,1.713,0.656,0,280,-1.31,-0.68,359,20.5,54,1023.3,0.499,4.14,15.52,0,53,2023-10-05 06:54:59
"56",56,3576,45,8.86,51.66,1.3,1.43,0.677,2,3586,2.98,1.43,359,20.5,54,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:55:00
"57",57,2994,52,8.64,57.44,1.66,1.393,0.742,0,280,-1.49,-1.12,359,20.5,54,1023.2,0.5,4.14,15.52,0,53,2023-10-05 06:55:01
"58",58,3186,49,8.63,54.4,1.49,1.393,0.708,1.97,3583,2.61,1.68,360,20.5,54,1023.2,0.5,4.14,15.56,0,53,2023-10-05 06:55:02
"59",59,4172,39,8.98,46.27,1.02,1.448,0.605,0,281,-1.55,-0.75,360,20.5,54,1023.2,0.5,4.14,15.52,0,53,2023-10-05 06:55:03
"60",60,4405,37,8.95,43.85,0.92,1.443,0.571,1.98,3583,3.05,1.18,359,20.5,54,1023.3,0.5,4.14,15.6,0,53,2023-10-05 06:55:04
"61",61,5849,31,9.66,39.55,0.68,1.558,0.495,0,279,-1.8,-0.81,359,20.5,54,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:55:05
"62",62,5673,32,9.71,41,0.73,1.566,0.518,1.98,3584,3.67,1.55,357,20.5,54,1023.3,0.5,4.14,15.52,0,53,2023-10-05 06:55:06
"63",63,3519,43,8.39,47.3,1.15,1.353,0.621,0,276,-1.49,-0.75,358,20.5,54,1023.3,0.5,4.15,15.44,0,53,2023-10-05 06:55:07
"64",64,3273,42,7.57,41.55,0.98,1.221,0.545,2,3583,2.98,1.49,360,20.5,54,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:55:08
"65",65,4454,34,8.25,37.3,0.71,1.33,0.479,0,280,-2.11,-0.75,359,20.5,54,1023.3,0.5,4.14,15.28,0,53,2023-10-05 06:55:09
"66",66,5577,33,9.84,42.69,0.78,1.587,0.543,2,3587,3.17,1.24,358,20.5,54,1023.3,0.5,4.14,15.32,0,53,2023-10-05 06:55:10
"67",67,4456,38,9.15,45.32,0.96,1.476,0.591,0,279,-2.05,-0.81,359,20.5,54,1023.3,0.501,4.14,15.12,0,53,2023-10-05 06:55:11
"68",68,4569,37,9.15,44.3,0.91,1.475,0.576,2,3584,3.11,1.18,359,20.5,54,1023.3,0.5,4.14,15,0,53,2023-10-05 06:55:12
"69",69,5144,36,10.13,48.31,0.98,1.633,0.626,0,285,-1.93,-0.56,360,20.5,54,1023.3,0.5,4.15,15.04,0,53,2023-10-05 06:55:13
"70",70,4533,40,9.82,50.92,1.13,1.584,0.666,2,3583,3.11,1.43,359,20.5,54,1023.3,0.5,4.14,15.2,0,53,2023-10-05 06:55:14
"71",71,3847,42,8.96,49.46,1.17,1.445,0.649,0,281,-1.99,-0.75,360,20.5,54,1023.3,0.5,4.14,15.08,0,53,2023-10-05 06:55:15
"72",72,3498,46,8.8,51.99,1.33,1.42,0.681,2,3583,3.11,1.37,359,20.5,54,1023.2,0.5,4.14,15.2,0,53,2023-10-05 06:55:16
"73",73,3466,48,9.2,56.97,1.53,1.484,0.743,0,279,-2.05,-0.68,359,20.5,54,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:55:17
"74",74,4710,40,10.26,53.42,1.19,1.654,0.699,2,3584,3.17,1.43,359,20.5,54,1023.2,0.5,4.14,15.2,0,53,2023-10-05 06:55:18
"75",75,6051,33,10.81,47.44,0.88,1.744,0.605,0,284,-2.36,-0.75,359,20.5,54,1023.2,0.5,4.14,15.12,0,53,2023-10-05 06:55:19
"76",76,5582,34,10.19,45.51,0.86,1.643,0.583,2,3586,2.86,1.18,358,20.5,54,1023.2,0.5,4.14,15.08,0,53,2023-10-05 06:55:20
"77",77,4627,38,9.58,47.75,1.01,1.545,0.623,0,280,-2.18,-0.81,359,20.5,54,1023.2,0.5,4.14,15.16,0,53,2023-10-05 06:55:21
"78",78,4458,38,9.33,46.92,1.01,1.504,0.613,1.98,3582,3.11,1.49,359,20.5,54,1023.3,0.5,4.14,15.08,0,53,2023-10-05 06:55:22
"79",79,5932,31,9.82,40.27,0.69,1.583,0.504,0,281,-1.8,-0.81,359,20.5,54,1023.3,0.5,4.14,15,0,53,2023-10-05 06:55:23
"80",80,5905,32,10.32,44.42,0.81,1.665,0.564,1.98,3583,2.98,1.06,359,20.5,54,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:55:24
"81",81,4830,37,9.78,47.86,1,1.578,0.623,0,280,-2.36,-0.81,360,20.5,54,1023.4,0.5,4.14,15.24,0,53,2023-10-05 06:55:25
"82",82,4790,40,10.37,53.75,1.19,1.673,0.704,1.99,3583,3.11,1.49,359,20.5,54,1023.4,0.5,4.14,15.36,0,53,2023-10-05 06:55:26
"83",83,5526,37,11,53.03,1.09,1.775,0.689,0,280,-1.8,-0.87,359,20.6,54,1023.4,0.5,4.14,15.28,0,53,2023-10-05 06:55:27
"84",84,6303,31,10.54,43.67,0.76,1.701,0.548,2.01,3584,2.86,1.55,359,20.6,54,1023.4,0.5,4.14,15.32,0,53,2023-10-05 06:55:28
"85",85,5806,32,10.05,42.85,0.77,1.62,0.542,0,280,-1.8,-0.75,359,20.6,54,1023.4,0.5,4.14,15.36,0,53,2023-10-05 06:55:29
"86",86,4702,37,9.55,46.84,0.98,1.541,0.61,1.98,3584,3.23,1.24,359,20.5,54,1023.4,0.5,4.14,15.36,0,53,2023-10-05 06:55:30
"87",87,4431,39,9.49,48.68,1.07,1.53,0.637,0,279,-2.05,-0.99,359,20.5,54,1023.4,0.5,4.14,15.32,0,53,2023-10-05 06:55:31
"88",88,4515,38,9.3,46.11,0.97,1.499,0.601,2.01,3583,2.73,1.31,359,20.5,54,1023.4,0.501,4.14,15.56,0,53,2023-10-05 06:55:32
"89",89,5945,30,9.62,38.71,0.65,1.552,0.481,0,276,-2.11,-0.56,359,20.5,54,1023.4,0.5,4.14,15.6,0,53,2023-10-05 06:55:33
"90",90,6126,30,9.95,40.15,0.68,1.604,0.5,2.02,3586,2.98,1.06,359,20.5,54,1023.5,0.5,4.14,15.4,0,53,2023-10-05 06:55:34
"91",91,4435,38,9.27,46.64,1,1.496,0.609,0,281,-1.74,-0.62,359,20.5,54,1023.5,0.5,4.14,15.28,0,53,2023-10-05 06:55:35
"92",92,3871,43,9.24,52.08,1.26,1.49,0.683,1.98,3583,3.42,1.31,359,20.6,54,1023.5,0.5,4.14,15.56,0,53,2023-10-05 06:55:36
"93",93,4083,44,9.83,55.92,1.37,1.586,0.733,0,279,-1.93,-0.81,359,20.6,54,1023.3,0.5,4.14,15.68,0,53,2023-10-05 06:55:37
"94",94,3956,46,10.03,59.67,1.53,1.618,0.781,2,3582,3.11,1.31,359,20.6,54,1023.3,0.5,4.14,15.6,0,53,2023-10-05 06:55:38
"95",95,4630,40,10.21,53.8,1.21,1.647,0.705,0,281,-1.74,-0.68,359,20.5,54,1023.3,0.5,4.14,15.4,0,53,2023-10-05 06:55:39
"96",96,4915,36,9.69,46.33,0.94,1.564,0.601,1.97,3583,3.17,1.37,359,20.5,54,1023.2,0.5,4.14,15.64,0,53,2023-10-05 06:55:40
"97",97,4529,39,9.69,49.73,1.09,1.563,0.65,0,279,-1.86,-0.68,359,20.5,54,1023.2,0.5,4.14,15.2,0,53,2023-10-05 06:55:41
"98",98,4980,38,10.36,51.82,1.11,1.67,0.676,2,3582,3.05,1.24,358,20.5,54,1023.2,0.5,4.14,15.6,0,53,2023-10-05 06:55:42
"99",99,5126,37,10.22,49.31,1.01,1.648,0.64,0,279,-1.74,-0.68,359,20.5,54,1023.4,0.5,4.14,15.32,0,53,2023-10-05 06:55:43
"100",100,5055,37,10.21,49.84,1.03,1.647,0.648,1.99,3582,2.73,1.31,360,20.5,54,1023.4,0.5,4.14,15.28,0,53,2023-10-05 06:55:44
"101",101,5579,32,9.51,40.05,0.71,1.534,0.505,0,277,-1.74,-0.81,358,20.5,54,1023.4,0.5,4.14,15.12,0,53,2023-10-05 06:55:45
"102",102,7050,25,9.41,32.04,0.45,1.518,0.37,2,3583,2.67,1.49,359,20.5,54,1023.1,0.499,4.13,15.16,0,53,2023-10-05 06:55:46
"103",103,5868,31,9.67,39.53,0.68,1.56,0.494,0,280,-1.62,-0.62,360,20.5,54,1023.1,0.5,4.14,15,0,53,2023-10-05 06:55:47
"104",104,3520,45,8.84,52.11,1.33,1.426,0.682,1.97,3579,3.54,1.37,359,20.5,54,1023.1,0.5,4.14,14.88,0,53,2023-10-05 06:55:48
"105",105,3909,43,9.2,51.29,1.23,1.484,0.673,0,281,-2.11,-0.93,359,20.5,54,1023.3,0.5,4.14,15,0,53,2023-10-05 06:55:49
"106",106,5493,35,10.31,47.23,0.92,1.664,0.608,1.99,3582,2.92,1.12,359,20.5,54,1023.3,0.5,4.14,15.08,0,53,2023-10-05 06:55:50
"107",107,5377,36,10.49,49.66,1,1.692,0.643,0,279,-1.93,-0.81,359,20.5,54,1023.3,0.499,4.14,15,0,53,2023-10-05 06:55:51
"108",108,5600,33,10.01,43.91,0.81,1.614,0.56,2,3582,3.29,1.24,359,20.5,54,1023.2,0.5,4.14,14.92,0,53,2023-10-05 06:55:52
"109",109,5252,34,9.67,43.54,0.83,1.56,0.559,0,276,-1.86,-0.56,359,20.5,54,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:55:53
"110",110,4524,40,9.89,51.64,1.15,1.594,0.676,2.01,3580,3.36,1.43,359,20.5,54,1023.2,0.5,4.14,15.12,0,53,2023-10-05 06:55:54
"111",111,5064,37,10.26,50.21,1.05,1.655,0.653,0,280,-1.49,-0.81,359,20.5,54,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:55:55
"112",112,5293,33,9.37,40.81,0.75,1.512,0.519,2,3582,2.67,1.55,358,20.5,54,1023.3,0.5,4.14,15.08,0,53,2023-10-05 06:55:56
"113",113,4547,36,8.85,41.82,0.84,1.427,0.541,0,280,-1.62,-0.62,359,20.5,54,1023.3,0.5,4.14,14.96,0,53,2023-10-05 06:55:57
"114",114,3902,42,8.98,49.11,1.15,1.449,0.644,1.99,3582,2.8,1.37,359,20.5,54,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:55:58
"115",115,3674,42,8.46,46.23,1.08,1.364,0.606,0,279,-1.74,-0.93,358,20.5,54,1023.2,0.5,4.14,15.04,0,53,2023-10-05 06:55:59
"116",116,4641,33,8.32,36.59,0.68,1.342,0.467,2,3583,3.42,1.18,360,20.5,54,1023.2,0.499,4.14,15.2,0,53,2023-10-05 06:56:00
"117",117,5257,34,9.79,44.48,0.86,1.579,0.572,0,279,-2.3,-0.56,359,20.5,54,1023.3,0.5,4.14,14.96,0,53,2023-10-05 06:56:01
"118",118,5351,38,11.14,55.78,1.19,1.796,0.728,1.98,3580,3.67,1.24,359,20.5,54,1023.3,0.499,4.14,15.08,0,53,2023-10-05 06:56:02
"119",119,6524,34,11.94,53.44,1.01,1.925,0.685,0,280,-2.49,-0.99,359,20.5,54,1023.3,0.5,4.14,15,0,53,2023-10-05 06:56:03
"120",120,7571,31,12.72,52.88,0.92,2.052,0.665,1.98,3582,3.23,1.49,359,20.5,54,1023.4,0.5,4.14,15.16,0,53,2023-10-05 06:56:04
"121",121,7080,32,12.23,52.08,0.93,1.972,0.659,0,280,-2.18,-0.75,359,20.5,54,1023.4,0.5,4.14,15.4,0,53,2023-10-05 06:56:05
"122",122,5864,36,11.35,53.39,1.07,1.831,0.691,2.02,3579,3.36,1.43,359,20.5,54,1023.4,0.5,4.14,15.6,0,53,2023-10-05 06:56:06
"123",123,6892,30,11.14,44.76,0.75,1.796,0.556,0,280,-2.42,-0.75,359,20.5,54,1023.1,0.5,4.14,15.52,0,53,2023-10-05 06:56:07
"124",124,7080,32,12.03,50.5,0.89,1.94,0.636,1.99,3582,3.61,1.37,359,20.5,54,1023.1,0.499,4.14,15.36,0,53,2023-10-05 06:56:08
"125",125,6833,35,12.95,59.77,1.17,2.089,0.771,0,277,-2.11,-0.93,359,20.5,54,1023.1,0.5,4.14,15.64,0,53,2023-10-05 06:56:09
"126",126,7390,32,12.58,52.94,0.94,2.03,0.668,2.01,3583,2.61,1.37,359,20.5,54,1023.3,0.499,4.13,15.6,0,53,2023-10-05 06:56:10
"127",127,6120,33,10.88,47.55,0.88,1.756,0.606,0,279,-1.8,-0.81,360,20.5,54,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:56:11
"128",128,5460,32,9.57,41.29,0.75,1.544,0.524,1.98,3580,3.05,1.43,359,20.6,54,1023.3,0.5,4.14,15.6,0,53,2023-10-05 06:56:12
"129",129,5971,30,9.53,37.91,0.63,1.538,0.469,0,279,-1.8,-0.75,359,20.6,54,1023.3,0.5,4.14,15.32,0,53,2023-10-05 06:56:13
"130",130,5174,34,9.66,44.01,0.85,1.558,0.566,2.01,3582,2.98,1.31,359,20.6,54,1023.3,0.5,4.14,15.28,0,53,2023-10-05 06:56:14
"131",131,5600,33,9.89,42.94,0.79,1.595,0.546,0,277,-1.93,-0.81,359,20.5,54,1023.3,0.501,4.14,15.16,0,53,2023-10-05 06:56:15
"132",132,6631,28,9.88,37.01,0.58,1.594,0.448,2,3579,3.11,1.12,359,20.5,54,1023.2,0.5,4.14,15.2,0,53,2023-10-05 06:56:16
"133",133,5615,34,10.36,46.7,0.89,1.671,0.599,0,277,-1.93,-0.93,359,20.5,54,1023.2,0.501,4.14,15.04,0,53,2023-10-05 06:56:17
"134",134,5303,38,11.06,55.45,1.19,1.783,0.724,2.02,3582,3.11,1.43,360,20.5,54,1023.2,0.5,4.14,14.96,0,53,2023-10-05 06:56:18
"135",135,5522,35,10.34,47.25,0.91,1.668,0.608,0,279,-1.86,-0.99,359,20.5,54,1023.5,0.501,4.14,15.08,0,53,2023-10-05 06:56:19
"136",136,5355,33,9.6,42.21,0.78,1.548,0.539,2.01,3579,3.23,1.24,358,20.5,54,1023.5,0.5,4.13,15.2,0,53,2023-10-05 06:56:20
"137",137,5563,35,10.41,47.5,0.92,1.678,0.611,0,277,-1.93,-0.68,357,20.5,53,1023.5,0.5,4.14,15.24,0,53,2023-10-05 06:56:21
"138",138,6392,31,10.48,42.63,0.73,1.69,0.532,2.01,3579,3.05,1.74,359,20.5,53,1023.2,0.5,4.14,15.88,0,53,2023-10-05 06:56:22
"139",139,6417,28,9.49,35.28,0.55,1.53,0.425,0,284,-1.93,-0.62,360,20.5,53,1023.2,0.5,4.14,15.6,0,53,2023-10-05 06:56:23
"140",140,4107,40,8.88,45.98,1.02,1.433,0.602,2,3579,2.8,1.06,359,20.5,54,1023.2,0.5,4.14,15.52,0,53,2023-10-05 06:56:24
"141",141,3323,47,8.61,52.14,1.37,1.388,0.681,0,277,-2.42,-0.81,358,20.5,54,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:56:25
"142",142,5009,37,10.12,49.39,1.03,1.632,0.643,1.97,3580,3.29,1.18,359,20.5,54,1023.3,0.5,4.12,15.8,0,53,2023-10-05 06:56:26
"143",143,5602,36,11.06,52.91,1.08,1.784,0.686,0,275,-1.74,-0.56,359,20.5,54,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:56:27
"144",144,4906,37,9.98,49,1.02,1.61,0.638,1.99,3579,2.86,1.49,359,20.5,54,1023.2,0.499,4.13,15.44,0,53,2023-10-05 06:56:28
"145",145,4592,38,9.42,46.62,0.98,1.52,0.608,0,277,-1.8,-0.62,360,20.5,54,1023.2,0.5,4.14,15.12,0,53,2023-10-05 06:56:29
"146",146,4829,36,9.31,43.61,0.87,1.501,0.564,2,3582,3.23,1.31,359,20.5,54,1023.2,0.5,4.14,15.52,0,53,2023-10-05 06:56:30
"147",147,5324,35,10.17,47.26,0.93,1.64,0.61,0,279,-2.11,-0.75,359,20.5,54,1023.3,0.5,4.14,15.12,0,53,2023-10-05 06:56:31
"148",148,5678,37,11.34,54.82,1.13,1.83,0.712,2,3579,3.23,1.31,359,20.5,54,1023.3,0.5,4.14,15.24,0,53,2023-10-05 06:56:32
"149",149,6598,33,11.83,52.06,0.97,1.909,0.664,0,277,-2.11,-0.81,360,20.5,53,1023.3,0.5,4.14,15.04,0,53,2023-10-05 06:56:33
"150",150,5968,36,11.66,55.28,1.11,1.881,0.716,2,3580,2.98,1.31,359,20.5,53,1023.3,0.5,4.13,15.16,0,53,2023-10-05 06:56:34
"151",151,5409,36,10.45,49.04,0.98,1.685,0.634,0,279,-1.93,-0.87,359,20.5,53,1023.3,0.5,4.14,15.04,0,53,2023-10-05 06:56:35
"152",152,5670,31,9.39,38.55,0.66,1.515,0.483,2.02,3582,2.8,1.31,359,20.5,54,1023.3,0.5,4.13,15.08,0,53,2023-10-05 06:56:36
"153",153,5142,33,9.09,39.5,0.72,1.466,0.503,0,280,-1.74,-0.62,360,20.5,54,1023.4,0.5,4.14,15.04,0,53,2023-10-05 06:56:37
"154",154,4968,34,9.01,40.06,0.75,1.454,0.512,2,3580,2.92,1.18,358,20.5,54,1023.4,0.5,4.14,15,0,53,2023-10-05 06:56:38
"155",155,4593,38,9.54,47.65,1.02,1.538,0.622,0,279,-1.99,-0.62,358,20.5,54,1023.4,0.5,4.14,15.08,0,53,2023-10-05 06:56:39
"156",156,4453,39,9.42,47.86,1.04,1.52,0.625,1.99,3579,3.23,1.55,359,20.5,54,1023.4,0.5,4.14,15.08,0,53,2023-10-05 06:56:40
"157",157,4834,36,9.32,43.65,0.87,1.503,0.564,0,279,-1.86,-0.99,360,20.5,54,1023.4,0.5,4.14,15.28,0,53,2023-10-05 06:56:41
"158",158,5284,35,10.18,47.69,0.95,1.642,0.616,2.01,3580,3.11,1.12,359,20.5,53,1023.4,0.5,4.14,15.32,0,53,2023-10-05 06:56:42
"159",159,5246,36,10.16,47.82,0.95,1.639,0.619,0,279,-1.8,-0.93,359,20.5,53,1023.3,0.5,4.14,15.36,0,53,2023-10-05 06:56:43
"160",160,4874,37,9.8,47.6,0.98,1.58,0.619,2.01,3580,3.23,1.49,359,20.5,53,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:56:44
"161",161,4944,37,9.98,48.69,1.01,1.61,0.633,0,284,-1.99,-0.75,358,20.5,53,1023.3,0.5,4.14,15.44,0,53,2023-10-05 06:56:45
"162",162,5365,34,9.94,44.97,0.86,1.603,0.578,2.01,3580,2.73,1.24,359,20.5,53,1023.3,0.5,4.14,15.56,0,53,2023-10-05 06:56:46
